,R9
252,1133
253,1139
254,1136
255,1139
256,1139
257,1135
258,1135
259,1139
260,1133
261,1133
262,1135
263,1141
264,1133
265,1133
266,1134
267,1139
268,1139
269,1133
270,1137
271,1133
272,1136
273,1135
274,1139
275,1137
276,1136
277,1141
278,1139
279,1136
280,1133
281,1138
282,1136
283,1137
284,1138
285,1135
286,1136
287,1135
288,1135
289,1136
290,1135
291,1136
292,1135
293,1136
294,1136
295,1136
296,1136
297,1133
298,1137
299,1134
300,1141
301,1141
302,1137
303,1133
304,1135
305,1133
306,1135
307,1139
308,1141
309,1140
310,1140
311,1140
312,1140
313,1140
314,1140
315,1139
316,1135
317,1135
318,1135
319,1135
320,1135
321,1135
322,1135
323,1135
324,1135
325,1135
326,1135
327,1135
328,1137
329,1139
330,1137
331,1137
332,1137
333,1140
334,1135
335,1135
336,1137
337,1139
338,1139
339,1139
340,1137
341,1136
342,1135
343,1139
344,1140
345,1139
346,1137
347,1139
348,1139
349,1140
350,1139
351,1139
352,1139
353,1134
354,1136
355,1137
356,1137
357,1139
358,1140
359,1135
360,1135
361,1139
362,1135
363,1135
364,1139
365,1135
366,1136
367,1139
368,1139
369,1140
370,1134
371,1139
372,1138
373,1133
374,1139
375,1140
376,1139
377,1139
378,1137
379,1137
380,1137
381,1137
382,1137
383,1137
384,1137
385,1137
386,1137
387,1137
388,1137
389,1135
390,1139
391,1139
392,1137
393,1140
394,1139
395,1137
396,1140
397,1137
398,1139
399,1135
400,1135
401,1137
402,1140
403,1134
404,1133
405,1137
406,1137
407,1137
408,1137
409,1137
410,1137
411,1137
412,1137
413,1137
414,1139
415,1134
416,1140
417,1139
418,1141
419,1137
420,1140
421,1141
422,1139
423,1133
424,1139
425,1138
426,1138
427,1141
428,1133
429,1138
430,1137
431,1140
432,1137
433,1137
434,1135
435,1135
436,1135
437,1135
438,1135
439,1133
440,1135
441,1135
442,1133
443,1133
444,1139
445,1135
446,1141
447,1139
448,1139
449,1139
450,1139
451,1139
452,1141
453,1134
454,1139
455,1139
456,1140
457,1139
458,1139
459,1141
460,1139
461,1134
462,1134
463,1134
464,1134
465,1139
466,1139
467,1140
468,1135
469,1138
470,1141
471,1135
472,1135
473,1135
474,1141
475,1138
476,1141
477,1141
478,1141
479,1141
480,1141
481,1141
482,1141
483,1141
484,1138
485,1141
486,1141
487,1138
488,1136
489,1138
490,1138
491,1136
492,1138
493,1138
494,1136
495,1138
496,1138
497,1138
498,1139
499,1138
500,1138
501,1138
502,1135
503,1137
504,1134
505,1138
506,1138
507,1138
508,1138
509,1138
510,1138
511,1137
512,1141
513,1138
514,1139
515,1138
516,1138
517,1135
518,1138
519,1133
520,1140
521,1138
522,1140
523,1140
524,1138
525,1138
526,1140
527,1140
528,1140
529,1136
530,1136
531,1136
532,1141
533,1138
534,1138
535,1138
536,1138
537,1139
538,1138
539,1138
540,1139
541,1137
542,1137
543,1133
544,1134
545,1133
546,1138
547,1139
548,1139
549,1139
550,1139
551,1137
552,1139
553,1141
554,1137
555,1134
556,1134
557,1140
558,1134
559,1134
560,1140
561,1139
562,1136
563,1141
564,1141
565,1134
566,1134
567,1139
568,1136
569,1140
570,1137
571,1139
572,1134
573,1135
574,1136
575,1141
576,1135
577,1140
578,1139
579,1133
580,1137
581,1141
582,1135
583,1136
584,1139
585,1139
586,1139
587,1139
588,1134
589,1137
590,1137
591,1135
592,1135
593,1135
594,1135
595,1135
596,1133
597,1134
598,1135
599,1135
600,1135
601,1134
602,1134
603,1134
604,1138
605,1140
606,1138
607,1140
608,1140
609,1140
610,1139
611,1140
612,1133
613,1139
614,1133
615,1135
616,1135
617,1135
618,1135
619,1135
620,1134
621,1134
622,1134
623,1134
624,1134
625,1134
626,1134
627,1134
628,1135
629,1140
630,1133
631,1133
632,1137
633,1140
634,1134
635,1134
636,1133
637,1139
638,1133
639,1135
640,1135
641,1135
642,1135
643,1135
644,1135
645,1135
646,1135
647,1135
648,1135
649,1135
650,1135
651,1139
652,1139
653,1139
654,1139
655,1139
656,1139
657,1139
658,1139
659,1139
660,1139
661,1139
662,1139
663,1139
664,1134
665,1135
666,1135
667,1136
668,1136
669,1136
670,1136
671,1135
672,1136
673,1136
674,1136
675,1135
676,1139
677,1135
678,1135
679,1135
680,1135
681,1141
682,1135
683,1136
684,1136
685,1137
686,1139
687,1136
688,1136
689,1136
690,1139
691,1135
692,1136
693,1136
694,1135
695,1135
696,1135
697,1135
698,1136
699,1139
700,1139
701,1139
702,1139
703,1139
704,1139
705,1141
706,1139
707,1134
708,1141
709,1134
710,1140
711,1140
712,1140
713,1140
714,1140
715,1141
716,1141
717,1139
718,1134
719,1134
720,1134
721,1134
722,1134
723,1137
724,1137
725,1137
726,1137
727,1137
728,1137
729,1137
730,1137
731,1134
732,1134
733,1134
734,1134
735,1134
736,1134
737,1140
738,1134
739,1134
740,1134
741,1135
742,1137
743,1137
744,1137
745,1137
746,1137
747,1137
748,1133
749,1139
750,1139
751,1139
752,1139
753,1139
754,1139
755,1137
756,1141
757,1136
758,1136
759,1136
760,1139
761,1141
762,1136
763,1138
764,1140
765,1134
766,1139
767,1140
768,1139
769,1139
770,1139
771,1139
772,1137
773,1134
774,1137
775,1133
776,1135
777,1136
778,1135
779,1135
780,1135
781,1135
782,1135
783,1137
784,1135
785,1135
786,1135
787,1137
788,1135
789,1135
790,1135
791,1135
792,1140
793,1135
794,1140
795,1135
796,1135
797,1135
798,1135
799,1135
800,1135
801,1135
802,1135
803,1135
804,1136
805,1136
806,1133
807,1141
808,1137
809,1138
810,1141
811,1139
812,1133
813,1133
814,1133
815,1141
816,1139
817,1134
818,1139
819,1139
820,1134
821,1140
822,1141
823,1141
824,1133
825,1133
826,1139
827,1141
828,1133
829,1137
830,1137
831,1138
832,1137
833,1137
834,1139
835,1136
836,1136
837,1136
838,1136
839,1139
840,1139
841,1139
842,1139
843,1139
844,1139
845,1139
846,1141
847,1141
848,1141
849,1133
850,1134
851,1134
852,1139
853,1139
854,1141
855,1133
856,1133
857,1133
858,1137
859,1140
860,1140
861,1136
862,1135
863,1139
864,1137
865,1140
866,1136
867,1141
868,1141
869,1141
870,1141
871,1140
872,1136
873,1136
874,1136
875,1136
876,1136
877,1136
878,1136
879,1136
880,1136
881,1134
882,1133
883,1137
884,1137
885,1137
886,1137
887,1137
888,1137
889,1137
890,1137
891,1137
892,1137
893,1137
894,1137
895,1137
896,1133
897,1133
898,1133
899,1133
900,1135
901,1140
902,1140
903,1137
904,1137
905,1140
906,1140
907,1137
908,1140
909,1140
910,1140
911,1140
912,1139
913,1139
914,1135
915,1135
916,1135
917,1135
918,1133
919,1137
920,1137
921,1141
922,1140
923,1140
924,1140
925,1135
926,1137
927,1141
928,1139
929,1139
930,1139
931,1140
932,1141
933,1139
934,1139
935,1137
936,1137
937,1137
938,1139
939,1137
940,1137
941,1137
942,1137
943,1137
944,1137
945,1137
946,1139
947,1140
948,1140
949,1139
950,1139
951,1139
952,1139
953,1139
954,1134
955,1136
956,1141
957,1137
958,1136
959,1139
960,1137
961,1139
962,1140
963,1136
964,1135
965,1136
966,1140
967,1140
968,1140
969,1140
970,1140
971,1139
972,1139
973,1137
974,1139
975,1137
976,1137
977,1137
978,1139
979,1139
980,1137
981,1137
982,1137
983,1139
984,1140
985,1137
986,1139
987,1140
988,1140
989,1134
990,1137
991,1137
992,1137
993,1141
994,1141
995,1141
996,1139
997,1138
998,1138
999,1138
1000,1139
1001,1141
1002,1137
1003,1140
1004,1140
1005,1135
1006,1141
1007,1141
1008,1134
1009,1139
1010,1139
1011,1134
1012,1134
1013,1134
1014,1139
1015,1140
1016,1139
1017,1139
1018,1139
1019,1141
1020,1141
1021,1141
1022,1141
1023,1141
1024,1141
1025,1141
1026,1141
1027,1134
1028,1134
1029,1139
1030,1139
1031,1140
1032,1140
1033,1141
1034,1141
1035,1141
1036,1141
1037,1141
1038,1141
1039,1141
1040,1138
1041,1141
1042,1141
1043,1141
1044,1141
1045,1136
1046,1136
1047,1138
1048,1139
1049,1140
1050,1137
1051,1138
1052,1140
1053,1140
1054,1136
1055,1138
1056,1139
1057,1133
1058,1139
1059,1139
1060,1139
1061,1141
1062,1137
1063,1134
1064,1140
1065,1140
1066,1140
1067,1139
1068,1140
1069,1140
1070,1140
1071,1139
1072,1139
1073,1135
1074,1137
1075,1135
1076,1134
1077,1140
1078,1140
1079,1140
1080,1140
1081,1140
1082,1140
1083,1140
1084,1135
1085,1136
1086,1139
1087,1139
1088,1139
1089,1137
1090,1139
1091,1136
1092,1135
1093,1136
1094,1136
1095,1138
1096,1141
1097,1141
1098,1140
1099,1137
1100,1141
1101,1140
1102,1140
1103,1139
1104,1140
1105,1135
1106,1141
1107,1137
1108,1136
1109,1136
1110,1136
1111,1141
1112,1137
1113,1141
1114,1136
1115,1137
1116,1137
1117,1133
1118,1133
1119,1139
1120,1139
1121,1139
1122,1139
1123,1137
1124,1138
1125,1139
1126,1134
1127,1141
1128,1140
1129,1139
1130,1140
1131,1139
1132,1138
