,R13
252,1133
253,1138
254,1135
255,1138
256,1138
257,1137
258,1137
259,1138
260,1133
261,1138
262,1137
263,1142
264,1133
265,1138
266,1134
267,1138
268,1138
269,1138
270,1135
271,1133
272,1135
273,1137
274,1138
275,1139
276,1135
277,1142
278,1138
279,1136
280,1133
281,1140
282,1135
283,1139
284,1140
285,1137
286,1135
287,1137
288,1137
289,1135
290,1137
291,1136
292,1137
293,1136
294,1135
295,1136
296,1136
297,1133
298,1139
299,1134
300,1142
301,1141
302,1139
303,1135
304,1137
305,1133
306,1137
307,1138
308,1142
309,1135
310,1135
311,1135
312,1141
313,1135
314,1141
315,1138
316,1137
317,1137
318,1137
319,1137
320,1137
321,1137
322,1137
323,1137
324,1137
325,1137
326,1137
327,1137
328,1135
329,1138
330,1135
331,1139
332,1135
333,1141
334,1137
335,1137
336,1135
337,1138
338,1138
339,1138
340,1139
341,1136
342,1137
343,1138
344,1141
345,1138
346,1139
347,1138
348,1138
349,1141
350,1138
351,1138
352,1138
353,1134
354,1135
355,1139
356,1139
357,1138
358,1141
359,1137
360,1137
361,1138
362,1137
363,1137
364,1138
365,1137
366,1135
367,1138
368,1138
369,1141
370,1134
371,1138
372,1140
373,1138
374,1138
375,1141
376,1138
377,1138
378,1139
379,1139
380,1139
381,1139
382,1139
383,1139
384,1139
385,1139
386,1139
387,1139
388,1139
389,1137
390,1138
391,1138
392,1139
393,1141
394,1138
395,1139
396,1141
397,1139
398,1138
399,1137
400,1137
401,1139
402,1141
403,1134
404,1133
405,1139
406,1139
407,1139
408,1139
409,1139
410,1139
411,1139
412,1139
413,1139
414,1138
415,1134
416,1141
417,1138
418,1142
419,1137
420,1141
421,1142
422,1138
423,1133
424,1138
425,1140
426,1140
427,1142
428,1133
429,1140
430,1139
431,1141
432,1135
433,1139
434,1137
435,1137
436,1137
437,1137
438,1137
439,1133
440,1137
441,1137
442,1133
443,1133
444,1138
445,1137
446,1142
447,1138
448,1138
449,1138
450,1138
451,1138
452,1142
453,1134
454,1138
455,1138
456,1141
457,1138
458,1138
459,1142
460,1138
461,1134
462,1134
463,1134
464,1134
465,1138
466,1138
467,1135
468,1137
469,1140
470,1142
471,1137
472,1137
473,1137
474,1142
475,1140
476,1142
477,1142
478,1142
479,1142
480,1142
481,1142
482,1142
483,1142
484,1140
485,1142
486,1142
487,1140
488,1135
489,1140
490,1140
491,1136
492,1140
493,1140
494,1135
495,1140
496,1140
497,1140
498,1140
499,1140
500,1140
501,1140
502,1137
503,1139
504,1134
505,1140
506,1140
507,1140
508,1140
509,1140
510,1140
511,1139
512,1142
513,1140
514,1138
515,1140
516,1140
517,1137
518,1140
519,1133
520,1141
521,1140
522,1141
523,1141
524,1140
525,1140
526,1135
527,1141
528,1135
529,1136
530,1136
531,1136
532,1141
533,1140
534,1140
535,1140
536,1140
537,1138
538,1140
539,1140
540,1138
541,1139
542,1135
543,1138
544,1135
545,1141
546,1140
547,1138
548,1138
549,1133
550,1138
551,1139
552,1138
553,1142
554,1139
555,1134
556,1134
557,1135
558,1134
559,1134
560,1135
561,1138
562,1136
563,1142
564,1142
565,1134
566,1134
567,1138
568,1136
569,1141
570,1139
571,1138
572,1134
573,1137
574,1136
575,1141
576,1137
577,1141
578,1138
579,1133
580,1135
581,1142
582,1137
583,1137
584,1138
585,1138
586,1138
587,1138
588,1134
589,1139
590,1139
591,1137
592,1137
593,1137
594,1137
595,1137
596,1138
597,1138
598,1137
599,1137
600,1137
601,1134
602,1134
603,1134
604,1140
605,1141
606,1140
607,1141
608,1141
609,1141
610,1138
611,1141
612,1138
613,1138
614,1138
615,1137
616,1137
617,1137
618,1137
619,1137
620,1134
621,1134
622,1134
623,1134
624,1134
625,1134
626,1136
627,1134
628,1137
629,1141
630,1138
631,1138
632,1139
633,1141
634,1136
635,1136
636,1133
637,1138
638,1133
639,1137
640,1137
641,1137
642,1137
643,1137
644,1137
645,1137
646,1137
647,1137
648,1137
649,1137
650,1137
651,1138
652,1138
653,1138
654,1138
655,1138
656,1138
657,1138
658,1138
659,1138
660,1138
661,1138
662,1138
663,1138
664,1134
665,1137
666,1137
667,1135
668,1136
669,1136
670,1135
671,1137
672,1135
673,1135
674,1135
675,1137
676,1138
677,1137
678,1137
679,1137
680,1137
681,1136
682,1137
683,1136
684,1136
685,1135
686,1135
687,1135
688,1135
689,1136
690,1138
691,1137
692,1135
693,1135
694,1137
695,1137
696,1137
697,1137
698,1137
699,1138
700,1138
701,1138
702,1135
703,1138
704,1138
705,1142
706,1138
707,1138
708,1142
709,1134
710,1141
711,1141
712,1141
713,1141
714,1138
715,1141
716,1141
717,1141
718,1134
719,1134
720,1134
721,1134
722,1134
723,1139
724,1139
725,1139
726,1139
727,1139
728,1139
729,1139
730,1139
731,1134
732,1134
733,1134
734,1134
735,1134
736,1134
737,1141
738,1134
739,1134
740,1134
741,1137
742,1139
743,1139
744,1139
745,1139
746,1139
747,1139
748,1133
749,1138
750,1138
751,1138
752,1138
753,1138
754,1138
755,1139
756,1142
757,1140
758,1140
759,1136
760,1138
761,1136
762,1136
763,1140
764,1141
765,1134
766,1138
767,1133
768,1138
769,1138
770,1138
771,1138
772,1139
773,1134
774,1139
775,1133
776,1137
777,1135
778,1137
779,1137
780,1137
781,1137
782,1137
783,1139
784,1137
785,1137
786,1137
787,1139
788,1137
789,1137
790,1137
791,1137
792,1141
793,1137
794,1141
795,1137
796,1137
797,1137
798,1137
799,1137
800,1137
801,1137
802,1137
803,1137
804,1135
805,1135
806,1133
807,1142
808,1139
809,1138
810,1142
811,1133
812,1133
813,1133
814,1133
815,1142
816,1138
817,1134
818,1138
819,1138
820,1134
821,1141
822,1142
823,1142
824,1133
825,1133
826,1138
827,1141
828,1138
829,1139
830,1139
831,1140
832,1139
833,1139
834,1138
835,1135
836,1135
837,1135
838,1135
839,1138
840,1138
841,1138
842,1138
843,1138
844,1138
845,1138
846,1142
847,1142
848,1142
849,1133
850,1134
851,1134
852,1138
853,1138
854,1142
855,1138
856,1138
857,1138
858,1139
859,1141
860,1141
861,1135
862,1137
863,1138
864,1139
865,1141
866,1135
867,1142
868,1142
869,1142
870,1142
871,1141
872,1135
873,1135
874,1135
875,1135
876,1136
877,1135
878,1135
879,1135
880,1136
881,1136
882,1133
883,1139
884,1139
885,1139
886,1139
887,1139
888,1139
889,1139
890,1139
891,1139
892,1139
893,1139
894,1139
895,1139
896,1135
897,1133
898,1141
899,1141
900,1137
901,1135
902,1135
903,1139
904,1139
905,1135
906,1141
907,1139
908,1141
909,1141
910,1141
911,1135
912,1138
913,1138
914,1137
915,1137
916,1137
917,1137
918,1133
919,1139
920,1138
921,1142
922,1141
923,1141
924,1141
925,1137
926,1135
927,1142
928,1138
929,1138
930,1139
931,1141
932,1142
933,1138
934,1138
935,1139
936,1139
937,1139
938,1138
939,1139
940,1139
941,1139
942,1139
943,1139
944,1139
945,1139
946,1138
947,1141
948,1141
949,1138
950,1138
951,1138
952,1138
953,1138
954,1134
955,1135
956,1142
957,1139
958,1135
959,1138
960,1139
961,1138
962,1141
963,1135
964,1135
965,1135
966,1141
967,1141
968,1141
969,1141
970,1141
971,1138
972,1138
973,1139
974,1138
975,1139
976,1139
977,1139
978,1138
979,1138
980,1139
981,1139
982,1139
983,1138
984,1141
985,1139
986,1138
987,1141
988,1141
989,1134
990,1139
991,1139
992,1139
993,1142
994,1142
995,1142
996,1138
997,1142
998,1140
999,1140
1000,1140
1001,1142
1002,1139
1003,1141
1004,1141
1005,1137
1006,1142
1007,1142
1008,1134
1009,1138
1010,1139
1011,1134
1012,1134
1013,1136
1014,1138
1015,1141
1016,1138
1017,1138
1018,1138
1019,1142
1020,1142
1021,1142
1022,1142
1023,1142
1024,1142
1025,1142
1026,1142
1027,1134
1028,1134
1029,1138
1030,1138
1031,1141
1032,1135
1033,1142
1034,1142
1035,1142
1036,1142
1037,1142
1038,1142
1039,1142
1040,1140
1041,1142
1042,1142
1043,1142
1044,1142
1045,1135
1046,1135
1047,1140
1048,1140
1049,1141
1050,1139
1051,1140
1052,1141
1053,1135
1054,1136
1055,1140
1056,1138
1057,1141
1058,1138
1059,1138
1060,1138
1061,1142
1062,1139
1063,1134
1064,1135
1065,1135
1066,1141
1067,1138
1068,1141
1069,1141
1070,1141
1071,1138
1072,1138
1073,1137
1074,1139
1075,1137
1076,1138
1077,1141
1078,1141
1079,1141
1080,1141
1081,1141
1082,1141
1083,1141
1084,1137
1085,1135
1086,1138
1087,1138
1088,1138
1089,1138
1090,1138
1091,1135
1092,1137
1093,1135
1094,1135
1095,1138
1096,1142
1097,1142
1098,1141
1099,1139
1100,1142
1101,1141
1102,1133
1103,1138
1104,1141
1105,1137
1106,1142
1107,1139
1108,1135
1109,1135
1110,1135
1111,1142
1112,1139
1113,1142
1114,1135
1115,1139
1116,1139
1117,1133
1118,1133
1119,1138
1120,1139
1121,1138
1122,1138
1123,1139
1124,1142
1125,1140
1126,1134
1127,1142
1128,1141
1129,1138
1130,1141
1131,1138
1132,1138
