,R11
252,1133
253,1133
254,1135
255,1139
256,1139
257,1136
258,1136
259,1139
260,1133
261,1133
262,1136
263,1141
264,1133
265,1133
266,1134
267,1139
268,1133
269,1133
270,1137
271,1133
272,1135
273,1136
274,1139
275,1137
276,1135
277,1141
278,1139
279,1135
280,1139
281,1138
282,1135
283,1137
284,1138
285,1136
286,1135
287,1136
288,1136
289,1135
290,1136
291,1135
292,1136
293,1135
294,1135
295,1135
296,1135
297,1133
298,1137
299,1134
300,1141
301,1141
302,1137
303,1137
304,1136
305,1133
306,1136
307,1139
308,1141
309,1140
310,1140
311,1140
312,1140
313,1140
314,1140
315,1139
316,1136
317,1136
318,1136
319,1136
320,1136
321,1136
322,1136
323,1136
324,1136
325,1136
326,1136
327,1136
328,1137
329,1133
330,1137
331,1137
332,1137
333,1140
334,1136
335,1136
336,1137
337,1133
338,1139
339,1139
340,1137
341,1135
342,1136
343,1139
344,1133
345,1133
346,1137
347,1133
348,1140
349,1133
350,1133
351,1139
352,1139
353,1134
354,1135
355,1137
356,1137
357,1139
358,1140
359,1136
360,1136
361,1140
362,1136
363,1136
364,1139
365,1136
366,1135
367,1139
368,1139
369,1140
370,1134
371,1139
372,1138
373,1133
374,1133
375,1140
376,1133
377,1139
378,1137
379,1137
380,1137
381,1137
382,1137
383,1137
384,1137
385,1137
386,1137
387,1137
388,1137
389,1136
390,1139
391,1139
392,1137
393,1137
394,1139
395,1137
396,1140
397,1137
398,1133
399,1136
400,1136
401,1137
402,1140
403,1134
404,1133
405,1137
406,1137
407,1137
408,1137
409,1137
410,1137
411,1137
412,1137
413,1137
414,1139
415,1134
416,1140
417,1141
418,1141
419,1137
420,1140
421,1141
422,1139
423,1133
424,1139
425,1138
426,1138
427,1138
428,1133
429,1138
430,1137
431,1140
432,1137
433,1137
434,1136
435,1136
436,1136
437,1136
438,1136
439,1133
440,1136
441,1136
442,1133
443,1133
444,1133
445,1136
446,1141
447,1133
448,1139
449,1139
450,1139
451,1139
452,1141
453,1134
454,1139
455,1139
456,1140
457,1139
458,1139
459,1141
460,1133
461,1134
462,1134
463,1134
464,1134
465,1140
466,1139
467,1140
468,1136
469,1138
470,1141
471,1136
472,1136
473,1136
474,1141
475,1138
476,1141
477,1141
478,1141
479,1141
480,1141
481,1141
482,1141
483,1141
484,1138
485,1141
486,1141
487,1138
488,1135
489,1138
490,1138
491,1135
492,1138
493,1138
494,1135
495,1138
496,1138
497,1139
498,1138
499,1138
500,1138
501,1138
502,1136
503,1137
504,1134
505,1138
506,1138
507,1138
508,1138
509,1138
510,1138
511,1137
512,1141
513,1138
514,1139
515,1138
516,1138
517,1136
518,1138
519,1133
520,1140
521,1138
522,1140
523,1138
524,1138
525,1138
526,1140
527,1140
528,1140
529,1135
530,1135
531,1135
532,1141
533,1138
534,1139
535,1138
536,1138
537,1139
538,1138
539,1138
540,1139
541,1137
542,1137
543,1140
544,1134
545,1140
546,1140
547,1139
548,1139
549,1133
550,1139
551,1137
552,1139
553,1141
554,1137
555,1134
556,1134
557,1140
558,1134
559,1134
560,1140
561,1139
562,1135
563,1141
564,1141
565,1134
566,1134
567,1139
568,1135
569,1140
570,1137
571,1139
572,1134
573,1136
574,1135
575,1141
576,1136
577,1134
578,1139
579,1133
580,1137
581,1141
582,1136
583,1135
584,1133
585,1133
586,1133
587,1139
588,1134
589,1137
590,1137
591,1136
592,1136
593,1136
594,1136
595,1136
596,1133
597,1134
598,1136
599,1136
600,1136
601,1134
602,1134
603,1134
604,1138
605,1140
606,1138
607,1140
608,1140
609,1140
610,1133
611,1140
612,1133
613,1133
614,1133
615,1136
616,1136
617,1136
618,1136
619,1136
620,1134
621,1134
622,1134
623,1134
624,1134
625,1134
626,1134
627,1134
628,1136
629,1140
630,1133
631,1133
632,1137
633,1140
634,1134
635,1134
636,1133
637,1133
638,1133
639,1136
640,1136
641,1136
642,1136
643,1136
644,1136
645,1136
646,1136
647,1136
648,1136
649,1136
650,1136
651,1139
652,1139
653,1139
654,1139
655,1139
656,1139
657,1139
658,1139
659,1139
660,1139
661,1139
662,1139
663,1139
664,1139
665,1136
666,1136
667,1135
668,1135
669,1135
670,1135
671,1136
672,1135
673,1135
674,1135
675,1136
676,1133
677,1136
678,1136
679,1136
680,1136
681,1141
682,1136
683,1135
684,1135
685,1137
686,1133
687,1135
688,1135
689,1135
690,1135
691,1136
692,1135
693,1135
694,1136
695,1136
696,1136
697,1136
698,1135
699,1139
700,1133
701,1133
702,1133
703,1133
704,1133
705,1141
706,1139
707,1134
708,1141
709,1134
710,1133
711,1140
712,1139
713,1137
714,1134
715,1141
716,1141
717,1139
718,1134
719,1134
720,1134
721,1134
722,1134
723,1137
724,1137
725,1137
726,1137
727,1137
728,1137
729,1137
730,1137
731,1134
732,1134
733,1134
734,1134
735,1134
736,1134
737,1140
738,1134
739,1134
740,1134
741,1136
742,1137
743,1137
744,1137
745,1137
746,1137
747,1137
748,1133
749,1139
750,1139
751,1139
752,1139
753,1139
754,1141
755,1137
756,1141
757,1141
758,1141
759,1135
760,1139
761,1141
762,1135
763,1139
764,1140
765,1134
766,1139
767,1139
768,1139
769,1139
770,1139
771,1139
772,1137
773,1134
774,1137
775,1133
776,1136
777,1135
778,1136
779,1136
780,1136
781,1136
782,1136
783,1137
784,1136
785,1136
786,1136
787,1137
788,1136
789,1136
790,1136
791,1136
792,1140
793,1136
794,1140
795,1136
796,1136
797,1136
798,1136
799,1136
800,1136
801,1136
802,1136
803,1136
804,1135
805,1135
806,1133
807,1141
808,1137
809,1133
810,1141
811,1139
812,1133
813,1139
814,1133
815,1141
816,1139
817,1139
818,1139
819,1139
820,1134
821,1140
822,1141
823,1141
824,1139
825,1137
826,1139
827,1141
828,1133
829,1137
830,1137
831,1138
832,1137
833,1137
834,1139
835,1140
836,1135
837,1135
838,1135
839,1139
840,1139
841,1139
842,1139
843,1139
844,1139
845,1139
846,1141
847,1141
848,1141
849,1133
850,1134
851,1134
852,1139
853,1133
854,1141
855,1133
856,1133
857,1133
858,1137
859,1140
860,1137
861,1135
862,1136
863,1139
864,1137
865,1134
866,1135
867,1141
868,1141
869,1141
870,1141
871,1140
872,1135
873,1135
874,1135
875,1135
876,1135
877,1135
878,1135
879,1135
880,1135
881,1134
882,1133
883,1137
884,1137
885,1137
886,1137
887,1137
888,1137
889,1137
890,1137
891,1137
892,1137
893,1137
894,1137
895,1137
896,1137
897,1133
898,1133
899,1133
900,1136
901,1140
902,1140
903,1137
904,1137
905,1140
906,1140
907,1137
908,1140
909,1140
910,1140
911,1140
912,1139
913,1139
914,1136
915,1136
916,1136
917,1136
918,1133
919,1137
920,1139
921,1141
922,1140
923,1140
924,1140
925,1136
926,1137
927,1141
928,1139
929,1139
930,1139
931,1140
932,1141
933,1139
934,1139
935,1137
936,1137
937,1137
938,1139
939,1137
940,1137
941,1137
942,1137
943,1137
944,1137
945,1137
946,1140
947,1133
948,1133
949,1139
950,1139
951,1139
952,1139
953,1139
954,1134
955,1135
956,1141
957,1137
958,1135
959,1139
960,1137
961,1139
962,1140
963,1135
964,1136
965,1135
966,1140
967,1140
968,1140
969,1140
970,1140
971,1133
972,1133
973,1139
974,1139
975,1137
976,1137
977,1137
978,1139
979,1139
980,1137
981,1137
982,1137
983,1139
984,1140
985,1137
986,1139
987,1137
988,1137
989,1139
990,1137
991,1137
992,1137
993,1141
994,1141
995,1141
996,1139
997,1138
998,1138
999,1138
1000,1133
1001,1141
1002,1137
1003,1140
1004,1140
1005,1136
1006,1141
1007,1141
1008,1139
1009,1139
1010,1139
1011,1134
1012,1134
1013,1134
1014,1139
1015,1140
1016,1139
1017,1139
1018,1139
1019,1141
1020,1141
1021,1141
1022,1141
1023,1141
1024,1141
1025,1141
1026,1141
1027,1134
1028,1134
1029,1140
1030,1140
1031,1140
1032,1140
1033,1141
1034,1141
1035,1141
1036,1141
1037,1141
1038,1141
1039,1141
1040,1138
1041,1141
1042,1141
1043,1141
1044,1141
1045,1135
1046,1135
1047,1139
1048,1138
1049,1137
1050,1137
1051,1138
1052,1140
1053,1140
1054,1135
1055,1139
1056,1139
1057,1140
1058,1139
1059,1139
1060,1139
1061,1141
1062,1137
1063,1134
1064,1140
1065,1140
1066,1140
1067,1139
1068,1140
1069,1140
1070,1134
1071,1133
1072,1139
1073,1136
1074,1137
1075,1136
1076,1134
1077,1140
1078,1140
1079,1140
1080,1140
1081,1140
1082,1140
1083,1140
1084,1136
1085,1135
1086,1139
1087,1139
1088,1139
1089,1139
1090,1139
1091,1135
1092,1136
1093,1135
1094,1135
1095,1135
1096,1141
1097,1141
1098,1137
1099,1137
1100,1141
1101,1140
1102,1139
1103,1139
1104,1140
1105,1136
1106,1141
1107,1137
1108,1140
1109,1140
1110,1140
1111,1141
1112,1137
1113,1141
1114,1135
1115,1137
1116,1137
1117,1133
1118,1133
1119,1139
1120,1139
1121,1139
1122,1139
1123,1137
1124,1138
1125,1133
1126,1139
1127,1141
1128,1140
1129,1139
1130,1140
1131,1139
1132,1135
